Nieminen;Simo;V3408020FI;1.90;0.66;1.36;0.88;0.46
O'Connor;Riley;B1912135IE;0.74;0.61;1.31;0.92;0.46
von Poppenkorkken;Petra;G7420203DE;1.13;1.65;0.86;0.74;0.78
Jones;Bob;I5400877US;1.38;0.94;0.88;0.57;0.34
Metzger;Erwin;O4050748DE;1.53;2.73;1.98;0.57;0.67
Kranz;Eva;Z3154106DE;0.92;1.19;1.68;0.75;0.69
Persson;Lars;G4248493SE;1.82;2.43;1.10;0.60;0.92
Becket;Ashley;R3036209US;1.74;1.59;0.92;0.85;0.84
Jokipohja;Justiina;T8657171FI;1.68;2.02;1.57;0.63;0.46
Conti;Giuseppina;I1659261IT;1.12;1.48;1.52;0.97;0.77
Salmijärvi;Simo;D5294665FI;1.57;2.44;1.23;0.57;0.66
Moretti;Benito;S6594294IT;1.72;2.08;0.84;0.72;0.78
Salo;Justiina;H6854174FI;1.43;1.60;0.83;0.66;0.75
Richter;Martina;G5026819DE;1.20;0.79;1.98;0.54;0.33
Johnson;Jim;Q5421307US;0.71;2.22;1.14;0.71;0.58
Rossi;Benito;U7956914IT;1.20;1.94;1.28;0.83;0.37
Vuorinen;Kalevi;Z6711327FI;0.98;1.59;1.55;0.70;0.35
Becket;Todd;W2456294US;1.35;2.26;1.04;0.97;0.76
Persson;Frida;H9464488SE;0.79;1.58;1.57;0.77;0.38
Hill;Ashley;N6559772US;1.42;1.50;1.54;0.96;0.45
Hollister;William;Z5324086GB;1.41;2.60;1.22;0.92;0.78
Gallo;Speranza;O7781772IT;0.98;2.19;0.88;0.77;0.49
Westerholm;Annika;Z6251578SE;1.14;2.75;1.77;0.73;0.74
Johnson;Taylor;G3534945US;1.42;1.55;0.71;0.92;0.84
Lombardi;Vittorio;Y9720968IT;0.75;1.61;0.92;0.61;0.85
Holm;Hedvig;K9313045SE;1.65;2.60;0.65;0.65;0.51
Hollister;Poppy;V9721049GB;1.63;1.05;0.52;0.77;0.50
O'Yes;Morgan;O2077244IE;1.42;2.27;0.85;0.93;0.70
O'Moran;Caitlin;R2881003IE;1.79;2.82;1.01;0.78;0.73
Williams;Jim;T4160802US;1.40;1.20;1.60;0.66;0.46
Hill;Allison;M3668593US;1.26;2.40;0.69;0.72;0.37
Eklund;Hedvig;K5046959SE;1.73;1.15;1.96;0.99;0.50
O'Mallory;Rory;I6260273IE;1.39;0.32;0.68;0.86;0.90
Vuorinen;Juhani;F2207057FI;0.99;2.56;1.34;0.92;0.66
Wagner;Brunhilde;L5771655DE;1.71;1.26;1.38;0.63;0.52
O'Malley;Glendon;Q5281643IE;1.24;1.19;1.38;0.95;0.80
Faust;Rosamunde;N5123981DE;1.98;1.14;1.48;0.60;0.47
Auditore;Speranza;K9961395IT;0.86;1.31;1.03;0.57;0.67
Appleby;Dave;X3250616GB;1.89;2.80;0.98;0.91;0.67
Kranz;Petra;O8946090DE;0.60;2.46;1.20;0.64;0.73
O'Malley;Regan;R6402372IE;0.73;1.02;1.39;0.89;0.58
Persson;Lennart;J5454282SE;1.45;2.60;1.17;0.57;0.77
Salminen;Essi;S5092750FI;1.08;2.12;0.57;0.73;0.58
Rossi;Enzio;E4203505IT;0.80;2.30;1.11;0.61;0.97
Metzger;Friederike;F1759147DE;1.09;1.51;1.48;0.80;0.81
Gallo;Vittorio;B9885054IT;1.74;2.12;1.74;0.91;0.40
O'No;Rory;G9605592IE;1.69;2.93;1.91;0.91;0.56
O'Reilly;Deirdre;A8760874IE;1.61;2.52;0.72;0.98;0.39
Holm;Annika;K9590182SE;1.31;1.42;0.56;0.68;0.45
Bucket;Evie;G4412897GB;1.17;1.77;1.45;0.90;0.72
Smith;Ashley;S1019388US;0.52;1.66;0.80;0.60;0.73
Gruber;Rosamunde;L1860149DE;0.57;1.94;1.85;0.63;0.42
Moretti;Vittorio;V1197518IT;1.36;0.58;1.37;0.80;0.72
Jokipohja;Reijo;H9935581FI;1.63;0.42;0.67;0.89;0.48
Auditore;Enzio;L2340392IT;0.74;0.95;1.81;0.92;0.58
Persson;Gunilla;G1427693SE;1.01;1.81;0.52;0.93;0.76
O'Connor;Liam;G1754256IE;1.94;0.97;0.83;0.60;0.33
O'Donnell;Seamus;D8401849IE;0.77;0.35;0.52;0.95;0.78
O'Reilly;Morgan;N8099957IE;1.99;2.51;1.81;0.94;0.56
Moretti;Luigi;B7213394IT;1.19;2.19;0.54;0.89;0.89
Kranz;Brunhilde;Z8122163DE;0.53;1.72;1.18;0.83;0.83
Rossi;Silvio;C6206780IT;1.68;0.40;1.68;0.91;0.82
Lahtinen;Aukusti;Z9778569FI;1.94;1.84;1.49;0.89;0.89
Hamilton;Flora;A2755269GB;0.81;2.96;1.90;0.53;0.98
Jokinen;Justiina;Y7720609FI;1.65;1.26;1.92;0.65;0.43
Dickinson;Honoria;H7448731GB;1.87;1.46;1.05;0.89;0.65
Milburn;Dave;W2587060GB;1.23;0.35;1.26;0.62;0.46
Metzger;Rosamunde;R5219990DE;1.12;0.79;1.34;0.73;0.95
